pair_id,arm_id,case_id,condition,position_id,eligible,executed,category,action,attempts,retries,cost_total_usd,latency_total_ms,input_tokens,output_tokens
Connor|m23c-0db7643154cffccaaf3076e44915fb7d|C2|local-qwen2-5-coder-7b,Connor,m23c-0db7643154cffccaaf3076e44915fb7d,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0db7643154cffccaaf3076e44915fb7d|C2|local-qwen3-8b,Connor,m23c-0db7643154cffccaaf3076e44915fb7d,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0db7643154cffccaaf3076e44915fb7d|C2|remote-gpt-5-6-luna-openai,Connor,m23c-0db7643154cffccaaf3076e44915fb7d,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0db7643154cffccaaf3076e44915fb7d|C2|remote-gpt-oss-20b-groq,Connor,m23c-0db7643154cffccaaf3076e44915fb7d,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-0db7643154cffccaaf3076e44915fb7d|C2|remote-qwen3-8b-alibaba,Connor,m23c-0db7643154cffccaaf3076e44915fb7d,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e|C2|local-qwen2-5-coder-7b,Connor,m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e|C2|local-qwen3-8b,Connor,m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e|C2|remote-gpt-5-6-luna-openai,Connor,m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e|C2|remote-gpt-oss-20b-groq,Connor,m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e|C2|remote-qwen3-8b-alibaba,Connor,m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|local-qwen2-5-coder-7b,Connor,m23c-1d886e5ec8474a49afcfc9730753f305,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|local-qwen3-8b,Connor,m23c-1d886e5ec8474a49afcfc9730753f305,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|remote-gpt-5-6-luna-openai,Connor,m23c-1d886e5ec8474a49afcfc9730753f305,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|remote-gpt-oss-20b-groq,Connor,m23c-1d886e5ec8474a49afcfc9730753f305,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|remote-qwen3-8b-alibaba,Connor,m23c-1d886e5ec8474a49afcfc9730753f305,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-26eec04a8ca445538003a724b8db3363|C2|local-qwen2-5-coder-7b,Connor,m23c-26eec04a8ca445538003a724b8db3363,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-26eec04a8ca445538003a724b8db3363|C2|local-qwen3-8b,Connor,m23c-26eec04a8ca445538003a724b8db3363,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-26eec04a8ca445538003a724b8db3363|C2|remote-gpt-5-6-luna-openai,Connor,m23c-26eec04a8ca445538003a724b8db3363,C2,remote-gpt-5-6-luna-openai,True,True,semantico,permitir,1,0,0.000155,2301,1187,109
Connor|m23c-26eec04a8ca445538003a724b8db3363|C2|remote-gpt-oss-20b-groq,Connor,m23c-26eec04a8ca445538003a724b8db3363,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-26eec04a8ca445538003a724b8db3363|C2|remote-qwen3-8b-alibaba,Connor,m23c-26eec04a8ca445538003a724b8db3363,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-2c2493b9218980e7a91d7e3db31453d0|C2|local-qwen2-5-coder-7b,Connor,m23c-2c2493b9218980e7a91d7e3db31453d0,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-2c2493b9218980e7a91d7e3db31453d0|C2|local-qwen3-8b,Connor,m23c-2c2493b9218980e7a91d7e3db31453d0,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-2c2493b9218980e7a91d7e3db31453d0|C2|remote-gpt-5-6-luna-openai,Connor,m23c-2c2493b9218980e7a91d7e3db31453d0,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-2c2493b9218980e7a91d7e3db31453d0|C2|remote-gpt-oss-20b-groq,Connor,m23c-2c2493b9218980e7a91d7e3db31453d0,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-2c2493b9218980e7a91d7e3db31453d0|C2|remote-qwen3-8b-alibaba,Connor,m23c-2c2493b9218980e7a91d7e3db31453d0,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-4ac055924e3b42a3aab6ae05465c4cc0|C2|local-qwen2-5-coder-7b,Connor,m23c-4ac055924e3b42a3aab6ae05465c4cc0,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-4ac055924e3b42a3aab6ae05465c4cc0|C2|local-qwen3-8b,Connor,m23c-4ac055924e3b42a3aab6ae05465c4cc0,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-4ac055924e3b42a3aab6ae05465c4cc0|C2|remote-gpt-5-6-luna-openai,Connor,m23c-4ac055924e3b42a3aab6ae05465c4cc0,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-4ac055924e3b42a3aab6ae05465c4cc0|C2|remote-gpt-oss-20b-groq,Connor,m23c-4ac055924e3b42a3aab6ae05465c4cc0,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-4ac055924e3b42a3aab6ae05465c4cc0|C2|remote-qwen3-8b-alibaba,Connor,m23c-4ac055924e3b42a3aab6ae05465c4cc0,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-5cff2ff4c59575916e38a1571c40b7c3|C2|local-qwen2-5-coder-7b,Connor,m23c-5cff2ff4c59575916e38a1571c40b7c3,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-5cff2ff4c59575916e38a1571c40b7c3|C2|local-qwen3-8b,Connor,m23c-5cff2ff4c59575916e38a1571c40b7c3,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-5cff2ff4c59575916e38a1571c40b7c3|C2|remote-gpt-5-6-luna-openai,Connor,m23c-5cff2ff4c59575916e38a1571c40b7c3,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-5cff2ff4c59575916e38a1571c40b7c3|C2|remote-gpt-oss-20b-groq,Connor,m23c-5cff2ff4c59575916e38a1571c40b7c3,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-5cff2ff4c59575916e38a1571c40b7c3|C2|remote-qwen3-8b-alibaba,Connor,m23c-5cff2ff4c59575916e38a1571c40b7c3,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-5f18774093484ea191932dd024a46243|C2|local-qwen2-5-coder-7b,Connor,m23c-5f18774093484ea191932dd024a46243,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-5f18774093484ea191932dd024a46243|C2|local-qwen3-8b,Connor,m23c-5f18774093484ea191932dd024a46243,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-5f18774093484ea191932dd024a46243|C2|remote-gpt-5-6-luna-openai,Connor,m23c-5f18774093484ea191932dd024a46243,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-5f18774093484ea191932dd024a46243|C2|remote-gpt-oss-20b-groq,Connor,m23c-5f18774093484ea191932dd024a46243,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-5f18774093484ea191932dd024a46243|C2|remote-qwen3-8b-alibaba,Connor,m23c-5f18774093484ea191932dd024a46243,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-6d36f53fcada3e0d9006efd364dc2ce9|C2|local-qwen2-5-coder-7b,Connor,m23c-6d36f53fcada3e0d9006efd364dc2ce9,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-6d36f53fcada3e0d9006efd364dc2ce9|C2|local-qwen3-8b,Connor,m23c-6d36f53fcada3e0d9006efd364dc2ce9,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-6d36f53fcada3e0d9006efd364dc2ce9|C2|remote-gpt-5-6-luna-openai,Connor,m23c-6d36f53fcada3e0d9006efd364dc2ce9,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-6d36f53fcada3e0d9006efd364dc2ce9|C2|remote-gpt-oss-20b-groq,Connor,m23c-6d36f53fcada3e0d9006efd364dc2ce9,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-6d36f53fcada3e0d9006efd364dc2ce9|C2|remote-qwen3-8b-alibaba,Connor,m23c-6d36f53fcada3e0d9006efd364dc2ce9,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-802e4923fdb5b936ae8f579cf5aa1d39|C2|local-qwen2-5-coder-7b,Connor,m23c-802e4923fdb5b936ae8f579cf5aa1d39,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-802e4923fdb5b936ae8f579cf5aa1d39|C2|local-qwen3-8b,Connor,m23c-802e4923fdb5b936ae8f579cf5aa1d39,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-802e4923fdb5b936ae8f579cf5aa1d39|C2|remote-gpt-5-6-luna-openai,Connor,m23c-802e4923fdb5b936ae8f579cf5aa1d39,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-802e4923fdb5b936ae8f579cf5aa1d39|C2|remote-gpt-oss-20b-groq,Connor,m23c-802e4923fdb5b936ae8f579cf5aa1d39,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-802e4923fdb5b936ae8f579cf5aa1d39|C2|remote-qwen3-8b-alibaba,Connor,m23c-802e4923fdb5b936ae8f579cf5aa1d39,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-82678152282db7c78531213bbd4ee37f|C2|local-qwen2-5-coder-7b,Connor,m23c-82678152282db7c78531213bbd4ee37f,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-82678152282db7c78531213bbd4ee37f|C2|local-qwen3-8b,Connor,m23c-82678152282db7c78531213bbd4ee37f,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-82678152282db7c78531213bbd4ee37f|C2|remote-gpt-5-6-luna-openai,Connor,m23c-82678152282db7c78531213bbd4ee37f,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-82678152282db7c78531213bbd4ee37f|C2|remote-gpt-oss-20b-groq,Connor,m23c-82678152282db7c78531213bbd4ee37f,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-82678152282db7c78531213bbd4ee37f|C2|remote-qwen3-8b-alibaba,Connor,m23c-82678152282db7c78531213bbd4ee37f,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-83da28841315e72546525841df5a99a6|C2|local-qwen2-5-coder-7b,Connor,m23c-83da28841315e72546525841df5a99a6,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-83da28841315e72546525841df5a99a6|C2|local-qwen3-8b,Connor,m23c-83da28841315e72546525841df5a99a6,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-83da28841315e72546525841df5a99a6|C2|remote-gpt-5-6-luna-openai,Connor,m23c-83da28841315e72546525841df5a99a6,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-83da28841315e72546525841df5a99a6|C2|remote-gpt-oss-20b-groq,Connor,m23c-83da28841315e72546525841df5a99a6,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-83da28841315e72546525841df5a99a6|C2|remote-qwen3-8b-alibaba,Connor,m23c-83da28841315e72546525841df5a99a6,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-87f8c5271423474788048f59ecf2852c|C2|local-qwen2-5-coder-7b,Connor,m23c-87f8c5271423474788048f59ecf2852c,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-87f8c5271423474788048f59ecf2852c|C2|local-qwen3-8b,Connor,m23c-87f8c5271423474788048f59ecf2852c,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-87f8c5271423474788048f59ecf2852c|C2|remote-gpt-5-6-luna-openai,Connor,m23c-87f8c5271423474788048f59ecf2852c,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-87f8c5271423474788048f59ecf2852c|C2|remote-gpt-oss-20b-groq,Connor,m23c-87f8c5271423474788048f59ecf2852c,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-87f8c5271423474788048f59ecf2852c|C2|remote-qwen3-8b-alibaba,Connor,m23c-87f8c5271423474788048f59ecf2852c,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-970b1cfa8d7d408caf72e16c95041a78|C2|local-qwen2-5-coder-7b,Connor,m23c-970b1cfa8d7d408caf72e16c95041a78,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-970b1cfa8d7d408caf72e16c95041a78|C2|local-qwen3-8b,Connor,m23c-970b1cfa8d7d408caf72e16c95041a78,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-970b1cfa8d7d408caf72e16c95041a78|C2|remote-gpt-5-6-luna-openai,Connor,m23c-970b1cfa8d7d408caf72e16c95041a78,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-970b1cfa8d7d408caf72e16c95041a78|C2|remote-gpt-oss-20b-groq,Connor,m23c-970b1cfa8d7d408caf72e16c95041a78,C2,remote-gpt-oss-20b-groq,True,True,semantico,permitir,1,0,0.000095,682,995,131
Connor|m23c-970b1cfa8d7d408caf72e16c95041a78|C2|remote-qwen3-8b-alibaba,Connor,m23c-970b1cfa8d7d408caf72e16c95041a78,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-98f1628b81ce40e788d08aef931042d2|C2|local-qwen2-5-coder-7b,Connor,m23c-98f1628b81ce40e788d08aef931042d2,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-98f1628b81ce40e788d08aef931042d2|C2|local-qwen3-8b,Connor,m23c-98f1628b81ce40e788d08aef931042d2,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-98f1628b81ce40e788d08aef931042d2|C2|remote-gpt-5-6-luna-openai,Connor,m23c-98f1628b81ce40e788d08aef931042d2,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-98f1628b81ce40e788d08aef931042d2|C2|remote-gpt-oss-20b-groq,Connor,m23c-98f1628b81ce40e788d08aef931042d2,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-98f1628b81ce40e788d08aef931042d2|C2|remote-qwen3-8b-alibaba,Connor,m23c-98f1628b81ce40e788d08aef931042d2,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-9caa88913b8748e2b76a63d658265872|C2|local-qwen2-5-coder-7b,Connor,m23c-9caa88913b8748e2b76a63d658265872,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-9caa88913b8748e2b76a63d658265872|C2|local-qwen3-8b,Connor,m23c-9caa88913b8748e2b76a63d658265872,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-9caa88913b8748e2b76a63d658265872|C2|remote-gpt-5-6-luna-openai,Connor,m23c-9caa88913b8748e2b76a63d658265872,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-9caa88913b8748e2b76a63d658265872|C2|remote-gpt-oss-20b-groq,Connor,m23c-9caa88913b8748e2b76a63d658265872,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-9caa88913b8748e2b76a63d658265872|C2|remote-qwen3-8b-alibaba,Connor,m23c-9caa88913b8748e2b76a63d658265872,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-a6bdf28882249c0533442ada100d6d2b|C2|local-qwen2-5-coder-7b,Connor,m23c-a6bdf28882249c0533442ada100d6d2b,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-a6bdf28882249c0533442ada100d6d2b|C2|local-qwen3-8b,Connor,m23c-a6bdf28882249c0533442ada100d6d2b,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-a6bdf28882249c0533442ada100d6d2b|C2|remote-gpt-5-6-luna-openai,Connor,m23c-a6bdf28882249c0533442ada100d6d2b,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-a6bdf28882249c0533442ada100d6d2b|C2|remote-gpt-oss-20b-groq,Connor,m23c-a6bdf28882249c0533442ada100d6d2b,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-a6bdf28882249c0533442ada100d6d2b|C2|remote-qwen3-8b-alibaba,Connor,m23c-a6bdf28882249c0533442ada100d6d2b,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-a9a8d3ef24bdbd8703372ab8a93aefdb|C2|local-qwen2-5-coder-7b,Connor,m23c-a9a8d3ef24bdbd8703372ab8a93aefdb,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-a9a8d3ef24bdbd8703372ab8a93aefdb|C2|local-qwen3-8b,Connor,m23c-a9a8d3ef24bdbd8703372ab8a93aefdb,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-a9a8d3ef24bdbd8703372ab8a93aefdb|C2|remote-gpt-5-6-luna-openai,Connor,m23c-a9a8d3ef24bdbd8703372ab8a93aefdb,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-a9a8d3ef24bdbd8703372ab8a93aefdb|C2|remote-gpt-oss-20b-groq,Connor,m23c-a9a8d3ef24bdbd8703372ab8a93aefdb,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-a9a8d3ef24bdbd8703372ab8a93aefdb|C2|remote-qwen3-8b-alibaba,Connor,m23c-a9a8d3ef24bdbd8703372ab8a93aefdb,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-b4784e0712ef6b3092f9dcb3924104f9|C2|local-qwen2-5-coder-7b,Connor,m23c-b4784e0712ef6b3092f9dcb3924104f9,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-b4784e0712ef6b3092f9dcb3924104f9|C2|local-qwen3-8b,Connor,m23c-b4784e0712ef6b3092f9dcb3924104f9,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-b4784e0712ef6b3092f9dcb3924104f9|C2|remote-gpt-5-6-luna-openai,Connor,m23c-b4784e0712ef6b3092f9dcb3924104f9,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-b4784e0712ef6b3092f9dcb3924104f9|C2|remote-gpt-oss-20b-groq,Connor,m23c-b4784e0712ef6b3092f9dcb3924104f9,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-b4784e0712ef6b3092f9dcb3924104f9|C2|remote-qwen3-8b-alibaba,Connor,m23c-b4784e0712ef6b3092f9dcb3924104f9,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-c2f74bae88db0dd897d88e2cc9693106|C2|local-qwen2-5-coder-7b,Connor,m23c-c2f74bae88db0dd897d88e2cc9693106,C2,local-qwen2-5-coder-7b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-c2f74bae88db0dd897d88e2cc9693106|C2|local-qwen3-8b,Connor,m23c-c2f74bae88db0dd897d88e2cc9693106,C2,local-qwen3-8b,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-c2f74bae88db0dd897d88e2cc9693106|C2|remote-gpt-5-6-luna-openai,Connor,m23c-c2f74bae88db0dd897d88e2cc9693106,C2,remote-gpt-5-6-luna-openai,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-c2f74bae88db0dd897d88e2cc9693106|C2|remote-gpt-oss-20b-groq,Connor,m23c-c2f74bae88db0dd897d88e2cc9693106,C2,remote-gpt-oss-20b-groq,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
Connor|m23c-c2f74bae88db0dd897d88e2cc9693106|C2|remote-qwen3-8b-alibaba,Connor,m23c-c2f74bae88db0dd897d88e2cc9693106,C2,remote-qwen3-8b-alibaba,False,False,nao_elegivel,NA,0,0,NA,NA,NA,NA
